date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:56:10	394/394	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Feb%202019%2014:26:11%20GMT	http://ingridkuhn.com/themes/littleones_html/maincolors	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/maincolors	(from http://ingridkuhn.com/themes/littleones_html/)
19:56:11	15546/15546	---M--	200	added ('OK')	image/png	etag:%223cba-57cc2a6e203eb%22	http://ingridkuhn.com/themes/littleones_html/switcher/images/maincolors.png	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/switcher/images/maincolors.png	(from http://ingridkuhn.com/themes/littleones_html/)
19:56:13	397/397	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Feb%202019%2014:26:14%20GMT	http://ingridkuhn.com/themes/littleones_html/cuteandbright	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/cuteandbright.11.delayed	(from http://ingridkuhn.com/themes/littleones_html/)
19:56:13	15548/15548	---M--	200	added ('OK')	image/png	etag:%223cbc-57cc2a6d361de%22	http://ingridkuhn.com/themes/littleones_html/switcher/images/cuteandbright.png	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/switcher/images/cuteandbright.png	(from http://ingridkuhn.com/themes/littleones_html/)
19:56:15	395/395	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Feb%202019%2014:26:17%20GMT	http://ingridkuhn.com/themes/littleones_html/pinkandblue	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/pinkandblue	(from http://ingridkuhn.com/themes/littleones_html/)
19:56:18	15548/15548	---M--	200	added ('OK')	image/png	etag:%223cbc-57cc2a6e203d5%22	http://ingridkuhn.com/themes/littleones_html/switcher/images/pinkandblue.png	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/switcher/images/pinkandblue.png	(from http://ingridkuhn.com/themes/littleones_html/)
19:56:20	395/395	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Sun,%2003%20Feb%202019%2014:26:21%20GMT	http://ingridkuhn.com/themes/littleones_html/sweetpastel	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/sweetpastel.15.delayed	(from http://ingridkuhn.com/themes/littleones_html/)
19:56:20	15549/15549	---M--	200	added ('OK')	image/png	etag:%223cbd-57cc2a6f0ec1c%22	http://ingridkuhn.com/themes/littleones_html/switcher/images/sweetpastel.png	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/switcher/images/sweetpastel.png	(from http://ingridkuhn.com/themes/littleones_html/)
19:56:21	75644/75644	---M-Z	200	added ('OK')	text/html	etag:%221277c-57cc22f94682c%22	http://ingridkuhn.com/themes/littleones_html/index.html	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/index-2.html	(from http://ingridkuhn.com/themes/littleones_html/)
19:56:22	76317/76317	---M-Z	200	added ('OK')	text/html	etag:%2212a1d-57cc22f99902c%22	http://ingridkuhn.com/themes/littleones_html/index_boxed.html	C:/My%20Web%20Sites/daffodilsschool/ingridkuhn.com/themes/littleones_html/index_boxed.html	(from http://ingridkuhn.com/themes/littleones_html/)
